keen.timestamp,keen.created_at,keen.id,Category,CategoryExpanded,CategoryWhere,Collections,Copyright,Dimensions,Filename,Format,MediaIrn,Object,ObjectIrn,Size,TransactionID
2014-11-04T21:46:00.444Z,2014-11-04T21:46:00.444Z,54594918c9e16304022784f7,not-selected,,,Photography,No known copyright restrictions,3706 x 2658,MA_I249603.3706x2658.jpg,JPEG,248378,"Main Street, Lower Hutt",1187130,1.71 MB,611d-0ddc-5f70-3d4d-afc9
2014-11-05T01:14:17.470Z,2014-11-05T01:14:17.470Z,545979e9709a394c31eaa10e,not-selected,,,Art,No known copyright restrictions,6414 x 3360,MA_I258518.6414x3360.jpg,JPEG,257426,Prototroctes maraena (Tas) : Australian grayling,1226464,2.49 MB,eafa-d6ee-3dd8-78cd-5bd1
2014-11-05T01:38:38.321Z,2014-11-05T01:38:38.321Z,54597f9ebcb79c3a6be73e07,not-selected,,,Photography,No known copyright restrictions,3000 x 2009,MA_I065125.6588x4411.jpg,JPEG,62106,&quot;Cleopatra&quot; in Domain Cricket Ground,538276,5.01 MB,b74e-b15f-cea6-185f-342b
2014-11-05T01:43:14.357Z,2014-11-05T01:43:14.357Z,545980b238314409d52984ac,not-selected,,,Photography,No known copyright restrictions,483 x 640,MA_I029942.501x663.jpg,JPEG,26614,[Fijian man],112967,0.05 MB,1524-6772-c4a9-facf-7585
2014-11-05T01:44:17.360Z,2014-11-05T01:44:17.360Z,545980f13831440a071397fa,not-selected,,,Art,No known copyright restrictions,3040 x 4000,MA_I082932.jpg,JPEG,79192,Man in white,42818,9.26 MB,7af3-7d1d-2f6b-e6aa-73ad
2014-11-05T01:47:46.322Z,2014-11-05T01:47:46.322Z,545981c2709a394c2c84078f,not-selected,,,Photography,No known copyright restrictions,3924 x 5304,MA_I141877.3924x5304.jpg,JPEG,137093,Unknown Solomon Island Man,211683,15.79 MB,8ded-5597-7b98-f0a0-4e16
2014-11-05T01:48:16.114Z,2014-11-05T01:48:16.114Z,545981e0709a394c7b634f32,not-selected,,,Photography,No known copyright restrictions,6717 x 4442,MA_I342151.6717x4442.jpg,JPEG,343222,Group of young men,270308,5.95 MB,a4df-ae30-ebef-eb0d-b955
2014-11-05T01:52:01.742Z,2014-11-05T01:52:01.742Z,545982c1709a394c59d637d8,not-selected,,,Photography,No known copyright restrictions,3845 x 5765,MA_I171370.3845x5765.jpg,JPEG,169204,Robert Louis Stevenson and a Samoan man,973767,3.77 MB,216f-82e3-f664-8e30-6c18
2014-11-05T01:53:09.547Z,2014-11-05T01:53:09.547Z,5459830538314409de384dc9,not-selected,,,Photography,No known copyright restrictions,640 x 474,MA_I024778.640x640.jpg,JPEG,19787,Men of the Stone Age,123207,0.19 MB,ff8c-afda-19fb-f6e5-134c
2014-11-05T01:55:55.019Z,2014-11-05T01:55:55.019Z,545983ab3831440a0713c56e,not-selected,,,Photography,No known copyright restrictions,640 x 461,MA_I075856.jpg,JPEG,72604,"Tattooing, Samoa",211520,0.12 MB,c0d5-84cc-8768-4021-1988
2014-11-05T01:57:41.461Z,2014-11-05T01:57:41.461Z,54598415709a394c48194cb1,not-selected,,,Photography,No known copyright restrictions,3000 x 2299,MA_I000311.3000x3000.jpg,JPEG,14461,Flannagan Cup competitors,126012,4.37 MB,89f3-c231-7266-e3bc-9385
2014-11-05T02:06:46.235Z,2014-11-05T02:06:46.235Z,545986363831440a0c250cc9,not-selected,,,Photography,No known copyright restrictions,6184 x 8050,MA_I342633.6184x8050.jpg,JPEG,343715,Carter and Crighton on Taupo Beach,122098,7.09 MB,4dcf-0c3d-3904-f39b-402b
2014-11-05T02:08:20.618Z,2014-11-05T02:08:20.618Z,5459869438314409d529f169,not-selected,,,Art,No known copyright restrictions,3894 x 3846,MA_I120885.jpg,JPEG,115606,Goblin market,44022,21.09 MB,23e1-70e8-61a7-0db1-d8f3
2014-11-05T02:08:47.637Z,2014-11-05T02:08:47.637Z,545986afe861701071c4fb55,not-selected,,,Art,No known copyright restrictions,3894 x 3846,MA_I120885.jpg,JPEG,115606,Goblin market,44022,21.09 MB,9e91-98f2-7f98-d02e-509a
2014-11-05T02:14:17.080Z,2014-11-05T02:14:17.080Z,545987f9709a394c6dd4aab4,not-selected,,,Photography,No known copyright restrictions,6162 x 4549,MA_I267358.6162x4549.jpg,JPEG,266384,Roast Pig,1250993,3.82 MB,b79c-8b77-500d-748a-1a0b
2014-11-05T04:04:41.896Z,2014-11-05T04:04:41.896Z,5459a1d90727193220874951,not-selected,,,Photography,No known copyright restrictions,1792 x 2400,MA_I051841.2400x2400.jpg,JPEG,49140,FA Court,350562,2.22 MB,8b96-834c-fab7-e4f2-2399
2014-11-05T07:40:46.459Z,2014-11-05T07:40:46.459Z,5459d47e80a7bd138c658690,Personal,,,Photography,No known copyright restrictions,3000 x 2064,MA_I058264.3000x3000.jpg,JPEG,55551,"Atiu, Mauke or Aitutaki",520677,3.63 MB,5193-d87c-6881-14de-f6a8
2014-11-05T07:41:17.100Z,2014-11-05T07:41:17.100Z,5459d49de87596193f99b44f,Personal,,,Photography,No known copyright restrictions,640 x 487,MA_I017039.647x493.jpg,JPEG,9425,"Grahamstown, Thames",22899,0.06 MB,698d-9b88-7426-fb95-c45f
2014-11-05T07:43:16.691Z,2014-11-05T07:43:16.691Z,5459d5142481961b75117a13,Personal,,,Photography,No known copyright restrictions,2400 x 1633,MA_I069523.2400x2400.jpg,JPEG,66519,Mauke,520596,1.97 MB,e1ab-3572-234b-be69-51b7
2014-11-05T07:49:50.880Z,2014-11-05T07:49:50.880Z,5459d69e3831440a0719cf1f,Personal,,,Photography,No known copyright restrictions,6254 x 4633,MA_I209546.6254x4633.jpg,JPEG,207892,View of Pollen Street. From the album: Views of the Thames Gold Fields; American Photographic Company,830336,6.46 MB,591d-5a32-7edc-5b93-9670
2014-11-05T07:52:42.762Z,2014-11-05T07:52:42.762Z,5459d74a709a394c43455504,not-selected,,,Photography,No known copyright restrictions,6100 x 4766,MA_I209544.6100x4766.jpg,JPEG,207890,View of the Hape Creek. From the album: Views of the Thames Gold Fields; American Photographic Company,830334,5.39 MB,64ca-9393-34e0-fed8-9a63
2014-11-05T07:55:14.885Z,2014-11-05T07:55:14.885Z,5459d7e233e4061f1f3666a6,Personal,,,Photography,No known copyright restrictions,5978 x 4603,MA_I209538.5978x4603.jpg,JPEG,207885,View of the Waiotahi Ranges. From the album: Views of the Thames Gold Fields; American Photographic Company,830320,6.79 MB,eab4-e2cc-bbce-5efd-6da4
